100,0.01,0.03,0.06,8,1.46,66,5,0.09,0.1,11,0.1,11,2,0.9,0.06,5,0.01,1
100,0.03,0.03,0.03,4,1.46,57,5,0.09,0.2,3,0.7,11,115,0.7,0.08,10,0.1,0.98
5,0.01,0.03,0.02,9,0.7,45,5,0.13,0.7,12,0.5,20,144,1,0.04,8,0.15,0.1
5,0.05,0.03,0.04,4,0.34,44,4,0.1,0.2,11,0.2,7,124,0.5,0.1,6,0.02,0.5
56,0.02,0.04,0.38,3,0.5,76,26,0.7,0.7,32,0.4,31,472,0.4,0.14,43,0.17,0.87
2,0.03,0.03,0.04,35,0.4,155,90,0.33,0.4,15,2.2,27,170,6.5,0.04,12,0.11,0.7
180,0.03,0.04,0.07,10,0.1,22,3,0.2,0.22,13,0.2,8,120,2.3,0.02,11,0.05,0.08
20,0.02,0.02,0.06,30,1.12,63,18,0.28,0.3,9,0.2,23,151,0.8,0.06,19,0.08,0.24
2,0.06,0.05,0.14,297,0.1,16,140,1.6,0.86,16,0.7,51,127,7,0.06,25,1.82,1.02
2,0.02,0.06,0.09,36,0.1,12,100,1,0.7,6,0.5,34,193,1.7,0.16,12,0.17,0.14
106,0.01,0.14,0.2,43,0,20,20,0,1.3,6,0.2,30,248,3.9,0.1,10,0.4,0.83
66,0.01,0.02,0.12,652,1.3,33,36,0.29,0.29,32,0.3,42,144,3.3,1.87,12,0.57,0.28
33,0.08,0.02,0.08,24,0,51,11,0.28,0.2,18,0.5,28,147,0.8,0.07,8,0.14,0.24
