11000,11000,2000,900,5000,100,10,1,60,100,8000,1460,10,30,60,90,5,100,66
3000,11000,115000,700,10000,700,100,0.98,80,100,4000,1460,30,30,30,90,5,200,57
12000,20000,144000,1000,8000,500,150,0.1,40,5,9000,700,10,30,20,130,5,700,45
32000,31000,472000,400,43000,400,170,0.87,140,56,3000,500,20,40,380,700,26,700,76
13000,8000,120000,2300,11000,200,50,0.08,20,180,10000,100,30,40,70,200,3,220,22
6000,30000,248000,3900,10000,200,400,0.83,100,106,43000,0,10,140,200,0,20,1300,20
18000,28000,147000,800,8000,500,140,0.24,70,33,24000,0,80,20,80,280,11,200,51
35000,18000,177000,1300,16000,200,1,0.45,70,277,33000,450,50,40,50,50,13,200,62
32000,0,0,71400,0,1000,230,0.63,0,688,13000,410,0.04,30,0,0,0,0,0
56000,0,0,60000,0,300,130,0.6,0,3,18000,1000,0.03,60,0,0,0,0,0
69000,0,0,89300,0,500,210,0.33,0,42,47000,920,0.06,70,0,0,0,0,0
66000,0,0,85200,0,2900,850,0.97,0,487,32000,1740,0.04,110,0,0,0,0,0
48000,0,0,73800,0,800,460,0.5,0,10,12000,2210,0.01,80,0,0,0,0,0
24000,0,0,5400,0,500,230,0.48,0,8,5000,1013,0.02,40,0,0,0,0,0
24000,0,0,4900,0,500,180,0.38,0,15,9000,460,0.02,30,0,0,0,0,0
8000,0,0,2700,0,800,370,0.78,0,5,27000,340,0.08,40,0,0,0,0,0
